..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
.9..2C.A...B,...18.....C.,..C8.7.9..A3,.64...8.273.,.1.....B....,8..2..7.A6..,..53.A..6..4,....5.....2.,.2BC.9...15.,14..7.9.BA..,.3.....64...,9...4.A2..1.
C..B38......,..24..B.18..,1..7..A43.B.,...2.71.B...,4...A.....2.,5....42...16,A8...C7....1,.1.....A...B,...3.B4.A...,.9.5BA..6..3,..1A.2..79..,......35C..2
.2A..B7....4,..51.......6,B...C.....A.,.7.9.1.A8.2.,........7.4.,.31.5C......,......32.6B.,.4.C........,.B.59.6.1.8.,.6.....3...1,4.......32..,7....A4..56.
8......4.5..,....A81.9.7.,...423.....8,3.8..5...7.6,..A...8.23..,..6.4..28..C,7..6B..C.2..,..B5.4...A..,A.2...7..8.3,5.....4B1...,.6.B.A98....,..7.6......B
2.B.....3.15,5..3.28....4,.4..1.C...9.,.58..4.C....,3....B..5...,...9.6..4A8.,.3C4..2.7...,...A..3....9,....A.B..3C.,.7...9.2..B.,C....34.1..2,16.5.....4.3
....B..71C..,....C13.4A..,........8..5,.2...A..6..1,.9..37..A...,1.A.64...75C,241...CB.8.6,...C..48..7.,7..A..1...B.,C..6........,..24.B95....,..9B8..6....
..BC.7.3....,37..5..B....,....42C....6,..85..2....4,..CA....6.B2,..6.3.5...18,2C...A.9.1..,9B.7....4A..,8....3..2C..,4....597....,....6..4..2A,....A.1.74..
..91...A..2.,.68..B43....,..B...7.....,.3.....C5.41,...4.53..B6.,..25..9.8...,...2.8..7C..,.9A..7B.1...,71.36.....5.,.....A...5..,....891..3B.,.A..5...21..
......4...8.,8.94....2B..,....39...4.1,.....37C.2..,.147..26...8,.CA.1.....96,4A.....B.81.,5...A7..96B.,..B.853.....,A.2...83....,..85....6C.2,.3...6......
....26....3B,..285B3.C...,..7..A.8...2,.9.A....8.C.,...3B...5...,.5...8..BA.6,7.B4..1...5.,...1...5A...,.8.2....3.7.,2...3.4..6..,...6.52A73..,A3....6B....
B...A8.....6,.18...B..3..,3..C.4.9....,9.4.B.8..7..,.2B.6..45..9,.8.A....24.1,7.13....6.9.,4..23..A.57.,..5..C.B.1.3,....8.9.C..7,..C..2...68.,8.....46...2
..3...91....,B..2......A1,....48.5B2..,..8..6.....B,..6.C....78.,97A..B5..6.2,2.B..51..AC4,.A4....2.1..,8.....7..5..,..956.4C....,C6......8..5,....59...3..
.C......B648,7...6.3.C..1,..26..C....7,...29..67...,....3....2..,.8.5...2AB6.,.61C4...3.8.,..5....3....,...9B..76...,3....C..41..,A..B.6.9...3,5471......A.
..A3.C8.4B..,687.A......9,.........C..,4..5.2..93.C,...6.3.5..1.,.......1.8.4,2.4.3.......,.A..5.4.B...,C.1B..6.3..2,..C.........,8......A.621,..64.93.C5..
....1C.7.2..,....6...8B.4,..3..B2.7..C,1..C..5..76.,.2.....41ACB,.A.37.......,.......36.7.,8C175.....B.,.39..7..2..1,9..6.8B..5..,B.24...C....,..C.2.46....
..B..9.7..C6,...2...5B...,7.6....B5..4,5.3...46..7.,4..BC..2..6.,.....39..B..,..9..28.....,.7..9..C2..3,.C..B7...1.A,A..58....4.2,...67...3...,C3..1.B..7..
.5.BC..398..,.......1.3..,.......6..17,..38..B.A7C.,C......94...,41...37.....,.....C6...8A,...54......9,.894.5..BC..,6C..8.......,..5.2.......,..42A..53.9.
47.8.3.....9,....17.....3,..B12.4.....,.B..C.8.....,...576..8..2,..9....A.1.7,8.6.9....5..,2..3..51A...,.....8.B..1.,.....C.698..,1.....23....,3.....1.2.A6
7A965.....3.,..2.....4...,B..4A..95...,.....1.....B,.1..9A.4.36.,6.75.B32..19,A6..49B.15.2,.B1.C.2A..8.,C.....6.....,...A2..B8..C,...2.....6..,.C.....6A275
.4..7....AC1,1.5.3.....8.,2.....C.....,7.84.1.3....,..3..64.B7..,6B.A......2.,.7......8.5A,..46.38..2..,....5.1.3C.9,.....C.....5,.1.....9.6.8,5AC....6..3.
..3..8....B9,41...9.35...,.....C...3.6,....B.2..9.7,...6...94..B,3..7.....2.1,6.7.....1..A,5..82...C...,1.9..5.A....,7.A...3.....,...46.A...1C,83....5..7..
6..7..5.....,58..6..34...,..1C..79.2..,..2A15..38.B,8.......C4..,..3.4.....7.,.B.....A.6..,..83.......9,A.42..8C51..,..C.37..8B..,...89..4..1C,.....8..2..4
.39.....4.1.,A5....89....,C......6.8.B,1...5..8..A4,.7C....261..,...A.9...3..,..1...7.3...,..3CB....58.,B4..9..C...A,5.A.8......1,....76....B9,.C.3.....62.
8..3..B..62.,...27.5C....,.75B..6....A,14..3.8.6.B.,6.......8..5,.B.8C....37.,.26....17.8.,C..5.......6,.1.9.8.6..43,2....1..A9C.,....94.51...,.97..C..3..4
.C.7.3B...9A,...1....46.2,.A..C1.....7,1.B..8267...,A...3.......,67.31.9....8,8....7.9A.41,.......C...B,...B461..8.5,7.....43..8.,B.A2....6...,48...B7.C.A.
....7.4..928,..B8...9A...,9.C......4..,....C91.52B6,5.9.6......C,.3...5..9.A.,.6.4..5...8.,7......8.1.5,A85B.724....,..7......B.A,...6A...17..,3A8..C.1....
2.3C..815..6,..9....AC.27,.A...5..8..B,...85C9.....,...........8,63C2...4.B.A,8.4.6...27B1,3...........,.....9CB4...,5..A..7...C.,C9.32....1..,4..BC1..75.2
1..874..6...,..B......897,5..69.8.B.1.,B.7....5.6..,8....C.4....,.CA4B...1...,...7...3514.,....4.B....2,..3.2....A.6,.6.5.B.97..1,714......3..,...B..572..A
.8C79....1..,..4683A...7.,9..5.B.7.3..,....5...A...,2......9B...,.3.8.C....6.,.6....3.C.4.,...4C......A,...2...1....,..2.4.6.8..C,.A...95812..,..1....C65B.
..B831......,.2738...5..B,6A.C.2....3.,B..2.A.9....,.1....82....,.54.C.B...8.,.C...7.8.5B.,....63....A.,....1.9.6..C,.3....7.2.5A,4..A...1786.,......3A19..
2.B.36....8.,......7.....,6.1A.B.9..72,.B9.1....82.,.1C7..B..3..,4..2......B.,.8......4..7,..2..5..A93.,.9A....6.B1.,82..7.C.31.A,.....8......,.5....2B.C.4
2.4.6...57.C,6.3....81..2,.9..1....8..,...6.2...A.3,..5.A...7.C1,...A.B.59...,...92.7.4...,5C.B...4.1..,4.7...6.2...,..8....1..2.,9..C5....3.4,1.A3...2.6.5
...3..C..7..,..CA..674.95,..4.5..A..C.,.5..78......,81..........,BCA..39....6,9....6A..874,..........5B,......58..3.,.A..4..1.2..,56.C97..B4..,..2..A..1...
.9.5C...7..B,.....8B.....,B......6A8.C,.C.49.6.....,31.......A5.,8..6523.C.7.,.7.B.CA56..9,.A1.......47,.....7.B2.3.,7.2A6......5,.....59.....,6..9...81.A.
..6..29....5,.5.7...61..3,.B.21..A....,..935A..C.47,5.......3..2,7....B.C..1.,.3..8.6....4,4..1.......8,6C.8..75B3..,....9..74.8.,3..BC...A.2.,8....6A..5..
.....A....58,4.53.6.8..9.,....4....B..,.76....9.2.5,B9....8.6..3,5.....1.9.AB,83.6.4.....A,9..7.3....C1,C.1.B....43.,..2....A....,.4..8.6.CA.2,68....C.....
.1.6...4.95.,.9.B.5...3.8,...47.B....6,...8........,..C..2.B.8.4,..4.C..53.B2,27.5B..C.4..,1.3.2.8..A..,........2...,4....B.7A...,6.5...4.7.3.,.C9.1...4.2.
62......97.8,.....6B.13..,....8A..52..,1C.3.....4.6,....C76...1.,...43....95.,.58....76...,.1...596....,7.9.....2.BA,..45..CB....,..C2.48.....,8.1B......42
4..C..9.2...,..5...2.B41.,...6..5B.C.3,.2.....8..6.,1.A....73...,.7..9.B....C,C....2.6..B.,...13....6.8,.B..8.....4.,2.9.BC..8...,.C3A.7...B..,...7.5..4..2
......6..2.7,15B.4.......,7......B.AC4,.....A.8B.9.,..A..4.....2,B2193...A...,...C...34726,5.....2..3..,.4.A6.9.....,9C6.1......5,.......5.1A3,A.5..3......
4.........18,.8...9A.7..B,.52...6...4.,7.4...5..C.2,1....C.69.75,..C.3..B.4..,..8.2..C.B..,CB.A7.9....4,2.1..B...8.7,.4...2...35.,5..9.47...6.,81.........9
...A.4..72..,967.2B.51...,..B.......5.,...83.......,4.5.62.....1,2....5.4.9.C,A.6.C.5....7,1.....29.4.8,.......19...,.8.......A..,...5B.68.179,..36..9.B...
7B.....45...,.5A..1.9.2.B,..1..7...8..,B7.........4,..69A...1..7,1.....97..A.,.6..73.....A,C..B...695..,8.........31,..5...3..B..,9.4.6.2..A8.,...38.....45
B...26..C..7,.7..A..CB42.,...3.1.4..56,..3.5.......,1...8.B..C..,.....43.72.A,7.4B.8A.....,..8..C.2...B,.......B.1..,36..4.2.A...,.41A9..3..8.,2..9..18...C
97..B4..58.2,...2..51....,64..2..7....,.....8A296..,3.4....C2.B.,..8.....A..3,8..A.....3..,.1.34....7.5,..67938.....,....C..4..57,....A1..B...,B.24..68..3A
3..A..C...96,8..61..A..5.,B..C.5..3..2,.....439.B.A,........2...,....7.1.C4.9,C.B7.8.6....,...3........,1.2.5C7.....,6..8..B.1..4,.9..C..1A..7,2A...9..6..3
.B.8.97.....,.5..B....14.,..92..C1..B.,......1.94.5,..46A3......,9..7..5....2,4....7..3..1,......4586..,8.35.6......,.2..75..6C..,.36....C..7.,.....B9.2.A.
....6..5A71B,5......92..4,....A..3..6.,.....56.9.4.,..3..1..725.,......2AC.B.,.3.829......,.BA4..C..1..,.6.5.A8.....,.5..1..7....,9..1B......3,34BA9..8....
.6B....C.3..,..45..A96..7,..29..7.4.C.,...7.....65.,....6...1.8.,1..6.8.B..4.,.7..9.5.3..B,.3.4...6....,.95.....2...,.4.1.2..CA..,B..349..81..,..8.3....B6.
..92..7..C6.,.4....25.73.,7...9CA...4.,91..3.8A6...,.....2...B7.,.728C...1...,...7...CB15.,.9C...3.....,...B8A.7..92,.2...368...C,.A6.7B....2.,.B7..5..89..
.9....B6..4C,.5.2A7..8..9,.B4.8......3,3.7..C2.....,.......1.2C.,C.....6....A,5....6.....7,.A8.9.......,.....34..9.5,7......8.C9.,2..C..574.1.,14..6A....7.
.AB...769...,26.4.....CA.,59.3C...6...,..CB..681...,.....59...B.,A...7.3.4.56,48.6.C.5...1,.1...98.....,...916..85..,...8...32.9B,.BA.....3.18,...281...6C.
5.B...C.A...,......653.C.,C.2....9.4.B,37..8.....1.,..6C.2....3.,.BA.5..1.9..,..3.6..8.17.,.5....1.43..,.8.....7..B2,7.4.A....5.9,.9.A75......,...5.4...8.A
9.3.5.76.2..,...8A...1...,.B....1..4A.,.7....3.6.1.,6....2..785.,....7A6...9B,78...5AB....,.596..8....4,.A.B.9....6.,.92..8....4.,...4...A8...,..8.46.2.1.7
..B8A4....6.,...A...8.35.,.41...7....8,...1583A...B,..5..1.6.8.C,....B...1..6,B..4...C....,8.9.3.4..2..,A...8261C...,9....7...62.,.A7.2...B...,.B....A351..
.5.96A.C.B2.,.6......7...,........6CA.,....A.2B..C1,.95....38...,2..3..76.9..,..7.83..C..9,...69....41.,54..C6.A....,.A42........,...1......3.,.3C.4.A89.7.
.2..A.......,..B...38.C21,..7...C.4A..,..9....78..5,.1..38.962..,B..8C.2.9...,...C.9.51..2,..43B.A1..9.,1..B7....6..,..36.A...5..,A48.5C...9..,.......6..C.
.A.5..8.2..3,....3....9.1,...39162.4..,58.A7.4...B.,...6.5..A.49,...4...C.7..,..8.4...B...,3C.B..9.4...,.6...3.B8.97,..B.59C86...,2.9....3....,6..8.2..9.C.
..8B12..A..4,....9.5AB8.3,3.5....4.972,.....1..8...,B..1...8...5,...7B5C...A.,.1...92B3...,2...8...5..B,...9..4.....,13A.2....5.9,6.45CA.1....,9..2..856A..
..B.87....3.,...5C....29.,...69.3B....,..49....2...,15.3..92..7.,..2.3..AC..5,9..B6..4.5..,.1..2C..6.B9,...C....A7..,....AB.71...,.C8....53...,.B....C3.A..
.C.6...2..19,4.B.....237.,......1....6,5B...3..8...,..9..851..2B,.A.....C..6.,.4..3.....C.,31..6A9..7..,...9..C...45,9....6......,.352.....9.A,68..1...C.5.
8C.....6.2..,.16...8A.7..,5...3.2.....,.8.74....62.,.2..B...A..8,...1.C.....5,9.....3.B...,3..B...C..7.,.A7....45.C.,.....6.B...3,..3.58...CA.,..A.2.....49
.3.2....75..,97..5....3..,81...7.A9...,7A..4C.9..B.,1938.....6..,....8.3.....,.....A.4....,..2.....B495,.4..2.C5..87,...79.A...C3,..9....C..76,..64....8.A.
3..C8.2B..7.,71.2..A.4...,.95.C.......,.5..1A.67..2,.B....3...A9,..64....C...,...1....37..,B2...8....C.,C..65.9A..B.,.......2.48.,...3.6..2.57,.8..A4.79..1
..53..7...1C,7.621.5.9..A,.......6..73,..87C9.....2,A4..7.......,..C.....6.8.,.2.9.....1..,.......2..A6,C.....4175..,53..6.......,4..C.B.A37.8,9B...3..A4..
...85.71C3..,..7.....12.4,.961..8.7...,1...A.4...5.,..8.2....6.3,....63....1A,27....BC....,8.4....2.7..,.5...6.A...8,...3.C..A84.,7.24.....1..,..C537.49...
C....B.1.2..,7.96..5..C8B,.........734,.1....B.....,.....6..8.2.,...83C2.91.7,3.17.94AB...,.5.C..1.....,.....5....C.,56C.........,192..7..C4.8,..4.B.6....2
......C48A..,5..2..7.C...,...B.3.A4..2,.4AC.......1,.9...7.63.BA,3.....B...C.,.6...C.....5,73.95.1...2.,C.......A31.,9..74.6.2...,...1.9..B..3,..6A2B......
..1........C,A3946C..1...,57..43.9.6..,.5..7.2.C.3.,..78...1....,...1.9..7..8,4..C..8.2...,....1...B9..,.1.3.6.2..A.,..2.8.57..C6,...5..64327B,6........8..
.64B3..82C..,.38....7....,..1..A6.83..,.9.843......,..3...8C..9.,5..7..2.A...,...9.8..3..A,.1..67...2..,......B26.1.,..91.2C..7..,....7....54.,..7A1..3968.
7.6.....AB41,43.....7..9.,...8..C..2..,....1...8.B2,...4.58B.6.3,.B...7.3..5.,.9..5.1...C.,6.A.9B3.5...,34.5...2....,..3..2..9...,.5..B.....16,862B.....5.C
.4AB.....3C.,5.1C.....28.,.73.6.C....5,...A5..986..,.1..CA3..B..,.....28.C...,...2.CA.....,..9..365..1.,..732..1B...,9....1.C.A5.,.2B.....41.C,.5C.....289.
....79.CB...,.7.....6..95,..31..4....2,.5....18.B..,B..8.2...1.6,3...BA....7.,.1....3A...8,4.5...8.1..C,..9.21....A.,2....7..54..,A6..4.....1.,...46.A2....
.2....9C....,..14...5.6.A,...8.A...3.5,3.2.7B..C.54,....9...3...,9C5B........,........15A7,...1...B....,85.C..6A.B.3,B.7...1.4...,4.9.B...6C..,....A3....B.
.A..5..2..61,5.C......A..,...4..A.3.C8,61....C54...,.....93...7.,..8......C1B,A72......6..,.C...A8.....,...1C6....53,2B.A.5..1...,..4......2.6,C3..7..4..8.
4.5..A.C2...,..6...1.C..A,...89..7B...,..1.7..4....,A.B.2.8..1..,...3..9.84C.,.736.9..1...,..9..C.6.2.B,....8..1.3..,...B1..A3...,6..C.8...B..,...5C.3..6.4
2.7..4.5...C,...1.32.78..,..45..1.....,.......3....,97B....C..12,..2.A9B..4..,..A..198.3..,7C..5....921,....3.......,.....6..91..,..34.BA.8...,B...2.5..7.4
...B......98,4.C.69..A3.1,9.6.B.A5....,7B...3......,...A1.......,8.2...76B1..,..7128...B.3,.......42...,......C...45,....75.9.A.B,1.93..B8.6.4,B5......1...
7..5B..24...,......87C.A.,.....94.5...,85.73C.62..A,B.6.8....5..,.3.C.5B.....,.....26.B.4.,..A....5.8.9,4..8A.3C6.25,...A.31.....,.9.468......,...B2..98..6
...........2,9..A25BC....,7..1.8A.B..C,.9.B....2C..,..67A..319..,2...5.C9..76,6A..72.B...4,..524..A63..,..BC....7.A.,B..5.64.A..7,....CA359..8,A...........
.....2.A...5,A....3..1.98,8..B.97.C.4A,..A....4..1.,.B5.......7C,9..C...15.8.,.6.89...B..7,C1.......83.,.A..3....C..,23.A.45.6..B,57.9..B....1,B...2.9.....
.7...59....A,....4A.C.B.9,A..47..B.86.,4.2.3.....78,...35..4A12.,.5....8.....,.....3....9.,.B35A..94...,19.....5.6.7,.3C.B..28..1,8.6.9.CA....,2....85...B.
..8......5..,C7..8.5..A..,4....7..892.,.....4..9B.3,7.B5..2..61.,...4.6.C..5.,.2..A.3.7...,.19..B..24.5,8.76..4.....,.367..8....4,..1..3.9..C2,..5......3..
..7A81.B..96,.B......3...,.8.C.357....,7..29..8....,...4...C..BA,61C8.....9..,..3.....6A14,84..3...B...,....6..58..9,....1A7.9.C.,...1......A.,A7..5.C324..
.6A...8...9.,.......368..,24...71.3.B.,B.4.1.7..9..,...C8....74.,...6.2.B51..,..247.9.A...,.35....47...,..6..A.5.4.9,.9.2.63...57,..13A.......,.8...4...6C.
7..A.9.8..3.,5B...C6.....,96C.......B.,3......5.1C.,B....A....6.,.7..643.5A..,..9B.6C2..7.,.3....4....C,.26.8......B,.1.......986,.....B2...A3,.A..3.7.C..2
3B659.7.....,.9..3.8.B...,...8..B.....,7..16.AB.4..,..2C.....B.3,.8...7..5..A,C..3..6...A.,A.B.....C9..,..8.CA.56..B,.....8..7...,...7.4.1..3.,.....B.C9A65
..14AB......,A9......B.3.,.C....475A..,...63..1....,8...62.A.B..,9..1..7..2C.,.1C..3..9..B,..3.8.62...C,....B..91...,..A854....2.,.B.2......A8,......A671..
..58..B9.1.7,....7.5....A,...436.1..2.,.C39.8.6....,.2....A.8..3,..4..3....1.,.3....4..7..,5..6.7....8.,....8.C.2B6.,.5..1.324...,7....9.5....,2.6.AC..93..
9.....518.AB,8.2....C1.4.,......B496..,.5........96,.CB.2..3....,..9..5...4.7,4.C...A..5..,....8..B.97.,18........2.,..8751......,.A.54....1.9,B9.6C7.....4
.C2.5.1..3..,...B.2.....C,9..1..B48...,B8....6..5.7,......82..94,341.A9......,......48.7A1,81..2A......,2.C..3....46,...894..1..A,1.....C.5...,..B..7.5.43.
C25.47...6..,..6.8.3...1.,4.....6....C,.5.B6.....82,9......5...1,..A...19C56.,.A3658...C..,5...3......8,1C.....65.2.,B....6.....5,.4...A.3.7..,..C...28.493
.89..A......,.....8.594..,6.153.....C2,.7..9....5.A,5....C..69.7,....B.17.3..,..7.A3.4....,3.C1..5....B,8.4....1..A.,74.....B36.C,..6C5.2.....,......A..B9.
..2A....5..7,....5B2..6A.,...8.A4..9.B,..C..19..37.,........65..,...5.7.A4..9,4..C9.B.8...,..96........,.B8..45..A..,8.7..3A.B...,.A5..6C9....,6..1....38..
.4B...3.8..1,671.CB....5.,.......A...6,.3C.5..2....,7.86...4..2.,...B38.C....,....4.576...,.5..6...71.C,....2..1.98.,4...B.......,.8....16.5C7,5..1.4...36.
.2.6.19....5,...8....3A..,.......A94C.,.9....6..581,5.....C..B..,.6..7.58C9..,..AB63.9..4.,..6..B.....8,85C..7....9.,.382A.......,..75....B...,B....94.8.6.
2...A..16.5.,.....6...1.A,1....9C.7..2,..2.....C...,..6.C.39..7.,49B....72.65,CB.69....731,.7..3B.5.9..,...4.....2..,7..5.32....4,B.1...5.....,.C.31..8...7
......C..763,B6.35.....91,9A71...B....,.38.46....C.,.1....7.6...,654BC.9.....,.....B.C5412,...6.3....B.,.B....84.63.,....3...A549,39.....68.7B,54B..A......
.7....9.B.8.,.....43A....,4.1.C....2..,5...3....C.B,..A3....1.27,8..6..253.4.,.A.75C..2..8,B1.9....C7..,C.8....9...6,..C....3.B.9,....965.....,.6.4.2....5.
.....4..1.2.,...8.9..7C..,1B..5..2..98,3.7C.A9..6B.,.....3.C4...,.........21.,.C2.........,...7A.B.....,.59..13.68.2,43..9..7..8C,..1B..5.2...,.7.6..2.....
578......B3.,32...5.9A...,..6.87.C.15.,....B....5..,.........98.,.375.6.1C...,...47.5.869.,.5C.........,..1....2....,.42.C.7A.8..,...69.4...C7,.B3......A19
3..6.5..A..7,...A4.9...5.,.59....68...,....9..4...B,.8.9.76...A.,5.AB3......1,9......A18.5,.6...1C.2.3.,4...7..3....,...1A....C2.,.7...4.C6...,8..3..B.7..4
62....1...49,7.C3..94A..5,.......6CB..,....A.8.7.93,...8.C69...1,..........6.,.6..........,C...67A.3...,2B.9.3.8....,..2B1.......,3..694..57.B,4A...8....26
.C5...9...3.,.....2..65..,..9.865.A..C,1.B..9.57.C.,C.A.1.4.9..6,.......B...4,A...3.......,2..5.4.9.A.B,.4.C5.B..7.3,6..1.32A.C..,..42..6.....,.7...1...6A.
5.4.1...9...,C.....9B.8..,.B...8257.A.,2.53.....9..,..B..9..4.C.,8........1.2,7.6........B,.1.5..7..4..,..C.....A6.8,.7.A6C1...2.,..2.5B.....4,...B...9.7.1
..973..18..C,..186.C..54.,5....BA.....,.B4.C.......,...3....6..8,.6.C5...B2..,..B6...C5.7.,A..1....9...,.......6.B3.,.....C5....9,.27..1.9A3..,3..52..AC8..
..4.B.......,...62.....4C,B.5.194.8..2,7..3..6.....,.B8.A1..2...,.5.1...23.7.,.6.57...A.2.,...4..85.76.,.....2..B..8,1..7.A2B.9.4,68.....C1...,.......9.2..
B...7.84....,..26....73..,..4..3..ACB.,....91..2...,.69.....B7.C,..C.27B.3...,...2.918.4..,7.B1.....A6.,...5..72....,.C1A..9..6..,..83....C2..,....C8.1...A
9..C.5..1...,5876....C...,..B.3.....4.,..6..79.3..8,1..B...27...,3...8.4..B..,..1..6.8...A,...72...B..5,8..3.BC..7..,.3.....A.5..,...1....94B6,...9..6.8..7
..3..1....C6,....2..578B1,...B..A.4...,...375...6.9,.6....32..74,7.....B6.3..,..B.39.....A,38..B2....1.,5.9...678...,...4.7..6...,AB274..3....,C9....1..7..
........A3..,.C9.1...5...,....42.891..,...C59..162.,....C3...5..,A2...16B..7.,.6..75C...1B,..C...A3....,.524..167...,..172.49....,...2...1.A6.,..B8........
..BC..A8.3.9,.....7.C....,.6...39...7.,...2..7...94,B.8.1...CA3.,1C7..9....B.,.B....5..92A,.361...A.B.8,25...B..6...,.1...CB...6.,....6.4.....,6.3.75..4C..
9..3C74.....,.6..89..A...,...8....C.6.,....A.81...6,18...C.75..4,.27.......3.,.3.......5B.,7..A6.3...4C,5...78.4....,.1.5....7...,...4..59..A.,.....A7C4..8
.1...A.B..34,.B.A7....9..,98...62.1...,.A.3.7.....5,......1.8...,...7..C64..3,7..B9C..3...,...2.1......,C.....B.6.1.,...C.4A...B1,..B....C9.6.,32..5.6...C.
1...3....2.8,.C4..1....3.,82.....971.6,......9...B5,C82.1..B6...,.4..2...98..,..C1...7..9.,...65..3.C17,73...A......,2.1C7.....64,.5....B..72.,B.6....2...C
1..86......B,C...45..7...,64...7...29.,.8.9.6......,..6.5..79.C1,..C...4..35.,.A5..B...1..,83.6A..2.B..,......9.3.8.,.68...7...43,...7..B5...6,3......18..C
..9..1.A..7.,C..1..6.2..B,...7....4.3.,8..C1.......,5.3.B..6.8..,.9B4C.....A.,.3.....25C4.,..1.6..5.7.3,.......8B..9,.7.5....1...,9..A.4..3..5,.1..2.C..B..
C...B9..6...,..3.27A.4..1,.5.4....C.A.,.C...B.8...5,..16........,87......A39.,.A2B......C9,........15..,9...8.1...6.,.1.7....5.3.,4..9.8C5.2..,...2..71...C
.19.....8..5,..8....5C7A.,A..5.8.....6,....5...9..2,..7..62..3..,.8....C4..67,B5..82....3.,..2..97..5..,9..4...3....,2.....8.7..B,.4632....1..,5..A.....2C.
.894A..3..2.,..C.........,3..2.C9..8B4,.3A.8.......,...8..6...35,.76BC1.....2,B.....2761A.,96...8..4...,.......1.2C.,A5B..21.C..3,.........9..,.9..3..8257.
..79.C.38..6,...C..2..95.,....A....B.2,.3.5......B.,..B234.....9,.C6..B..3...,...7..C..38.,C.....859A..,.B......5.4.,7.5....4....,.64..8..2...,8..31.9.B7..
3..8C.A.9...,.....947....,......3..C1A,.71.....5..B,9.A.3.5...C.,C..B..1...72,B4...3..6..7,.6...4.9.3.C,A..3.....B8.,219..6......,....41B.....,...5.A.8C..3
2B.7...1...4,.C...B.4.17.,.....C....39,5.A..8....1.,9.2.5...C...,.....6C.49.7,7.5B.9A.....,...8...5.3.A,.2....8..7.6,C9....4.....,.1B.7.3...C.,8...9...3.B1
..51....A...,.7.....C...2,3..2.19..B87,78.3.6.A...5,..1.......2.,B24..81.9...,...8.BA..651,.6.......2..,A...5.3.C.78,693..54.1..A,1...3.....6.,...C....74..
.8.17.C..4..,5.....B.68..,..6......3C.,...A23....B.,B.2..7.9C...,C.....512...,...75C.....9,...31.A..B.5,.A....948...,.7B......6..,..94.5.....2,..5..9.63.8.
4.3......9..,985...C6....,.A.19..7.2.C,.5......3.BA,..1...32...4,.683..5.....,.....6..25C.,C...84...7..,31.5......8.,5.A.B..C7.4.,....67...B25,..B......A.3
...7.2.A..CB,2.8.3.B..1..,...3.C6..8.7,..2.9....7..,.5...17.9...,C7.....5...1,A...1.....B6,...1.62...A.,..5....4.C..,4.B..81.6...,..1..7.3.4.A,98..6.5.B...
B6.C..2..58.,9A....6....3,..31.B.9....,8........4A.,.14...57B...,2...B..4..9.,.B..C..8...4,...A49...63.,.C8........1,....2.8.61..,6....7....4A,.4B..5..8.C7
..A.5.B...8.,6..7..A.C...,8.9.6....AB.,...3..1....8,..49....6.7.,B86...3...1.,.7...2...3AB,.3.8....29..,A....B..7...,.C3....1.4.2,...1.4..5..C,.4...5.9.B..
..4.....9A..,.C...67.2.8.,..6...85....,4...7.6.....,.1.C..4..9A2,63.....145..,..584.....1A,A43..2..7.5.,.....7.8...3,....B1...6..,.B.A.8C...7.,..89.....1..
49.2A.6....3,.6.......AB.,....B.C....4,..87...A1...,.A4.....B528,C..5.B..3...,...B..4.8..7,1498.....CA.,...A8...94..,9....1.8....,.15.......7.,7....4.56.19
.25.C1.9....,...C.......9,6.9...84....,A..6.5......,.B47.8....C.,8.35..4B9.2.,.6.172..AB.3,.A....9.C68.,......A.5..2,....3C...4.B,1.......3...,....4.28.A5.
...3.B6.....,71B....8..4.,...C4..2..B.,..817....5..,9...A8...61.,B53..126..9.,.A..143..956,.95...8A...1,..C....928..,.B..3..15...,.7..B....268,.....27.A...
9.A.3......2,.5..C2.6....,.213..8.4...,.....A2....C,7AC5....B4..,.8.B5...3...,...2...96.1.,..36....C298,4....6C.....,...8.C..295.,....9.7A..8.,3......5.B.6
..1.5..2....,.7..A...6...,24...7.8..1.,8.3..B..4...,.1BC2......7,765..9...1..,..A...1..379,9......5CA6.,...1..B..5.4,.8..C.7...B2,...2...3..5.,....B..9.7..
5...78..4...,24.6..3B9...,.A..4..6.C57,...9.C..B...,17.....3....,3........926,429........A,....3.....45,...1..B.2...,8B1.A..7..9.,...513..A.84,...4..82...1
9..B43...A..,76..1...9C..,....B2.....3,B..2........,A.759....2.8,.4.....C5.B.,.C.35.....4.,2.4....1B3.5,........8..6,3.....2A....,..8C...3..71,..6...542..C
..C.9.7...45,54...C...6..,.8.2...4....,C1B...2.3...,..4....9..6.,...9..B1A..4,6..429..1...,.5..B....8..,...A.7...23B,....3...6.2.,..1...5...93,27...6.8.1..
2.5684..B...,....6.B....1,B18..9...A.6,49......6...,..B.A.2..7.4,..7.4B..A9C.,.B47..95.C..,1.C..3.B.2..,...2......47,7.1...C..4B3,A....7.3....,...3..8476.A
C..1...6A..5,9746....1...,5....2.17.3.,.59....B.3.7,.1...6..B...,....7..8....,....B..4....,...B..A...8.,4.7.5....CA.,.6.4C.7....1,...3....9472,1..72...5..3
.CBA5.4.1..2,17...6.C...A,.......2...8,..43....B.6.,CA9...5.....,..78...4..A.,.3..C...2A..,.....9...187,.5.6....49..,3...8.......,4...3.A...B6,A..B.4.7853.
